brain,scenario,method,tissue_pct,skull_pct
vp_146735,standard,sg_c,91.80455015511893,80.26764628706377
vp_146735,reduced_compute,baseline,9.001206480523956,15.481500918394122
vp_146735,reduced_compute,dg,39.46914856945881,19.994752033586984
vp_146735,reduced_compute,dg_c,33.94519131334023,32.77355024927841
vp_146735,reduced_compute,sg,24.08652188900379,56.57307793230123
vp_146735,reduced_compute,sg_c,53.516028955532576,68.80083967462608
vp_146735,missing_low_freq,baseline,9.001206480523956,11.361847284177381
vp_146735,missing_low_freq,dg,9.001206480523956,23.117292049330885
vp_146735,missing_low_freq,dg_c,38.809893140296445,36.26344791393335
vp_146735,missing_low_freq,sg,9.014133057566356,11.230648123852008
vp_146735,missing_low_freq,sg_c,66.6968286797656,72.36945683547626
vp_978578,standard,baseline,7.1315996847911745,27.54674853474742
vp_978578,standard,dg,82.2802493015259,59.41948088194251
vp_978578,standard,dg_c,79.14607063543234,62.71281049399944
vp_978578,standard,sg,86.95107099362419,78.62126709461346
vp_978578,standard,sg_c,88.72770255748979,83.86826681551773
vp_978578,reduced_compute,baseline,6.719679060104592,22.32765838682668
vp_978578,reduced_compute,dg,6.723260978580127,7.172760256768071
vp_978578,reduced_compute,dg_c,42.66064904362777,37.901200111638296
vp_978578,reduced_compute,sg,60.47352962246579,62.32207647222997
vp_978578,reduced_compute,sg_c,83.62705064832724,78.95618197041586
vp_978578,missing_low_freq,baseline,6.719679060104592,18.420318169132013
vp_978578,missing_low_freq,dg,6.719679060104592,27.211833658945018
vp_978578,missing_low_freq,dg_c,55.51615445232466,45.29723695227463
vp_978578,missing_low_freq,sg,6.751916326384412,22.578844543678482
vp_978578,missing_low_freq,sg_c,83.7345082025933,80.04465531677366
vp_139233,standard,baseline,8.458126397998257,22.899578807359788
vp_139233,standard,dg,63.308943397657046,77.58811793393926
vp_139233,standard,dg_c,64.6017363612238,77.94280647306584
vp_139233,standard,sg,73.18118057398492,85.05874528929283
vp_139233,standard,sg_c,87.58767107707473,85.92329860341388
vp_139233,reduced_compute,baseline,8.37092921863745,19.99556639326092
vp_139233,reduced_compute,dg,8.420214580884862,26.645976501884284
vp_139233,reduced_compute,dg_c,30.234674147931912,52.56040789181999
vp_139233,reduced_compute,sg,50.991394017515255,84.54888051429839
vp_139233,reduced_compute,sg_c,73.49205747431475,87.1647084903569
vp_139233,missing_low_freq,baseline,8.507411760245668,16.4043449346043
vp_139233,missing_low_freq,dg,8.37092921863745,30.990911106184882
vp_139233,missing_low_freq,dg_c,24.479660310118664,46.17601418754156
vp_139233,missing_low_freq,sg,8.609773666451833,26.490800266016407
vp_139233,missing_low_freq,sg_c,93.60806763468173,88.87164708490357
vp_284646,standard,baseline,83.6836998706339,41.9894787183166
vp_284646,standard,dg,94.77037516170763,72.9794356767097
vp_284646,standard,dg_c,94.78978007761967,84.60066953610712
vp_284646,standard,sg,96.23544631306598,81.10951697752272
vp_284646,standard,sg_c,92.89780077619663,60.73648971783836
vp_284646,reduced_compute,baseline,8.528460543337646,19.751315160210424
vp_284646,reduced_compute,dg,73.72897800776197,65.18412242945959
vp_284646,reduced_compute,dg_c,91.07050452781371,83.83548541367767
vp_284646,reduced_compute,sg,98.23415265200518,84.5528455284553
vp_284646,reduced_compute,sg_c,93.57050452781371,69.29698708751793
vp_284646,missing_low_freq,baseline,8.518758085381629,15.016738402678145
vp_284646,missing_low_freq,dg,73.77425614489003,52.94117647058824
vp_284646,missing_low_freq,dg_c,96.26131953428202,80.10521281683405
vp_284646,missing_low_freq,sg,21.701164294954722,41.89383070301291
vp_284646,missing_low_freq,sg_c,89.30789133247089,67.0492587278814
vp_622236,standard,baseline,7.410045104622376,16.13414312120412
vp_622236,standard,dg,79.87248618035066,62.661737523105366
vp_622236,standard,dg_c,87.50296740936683,70.76841827303934
vp_622236,standard,sg,98.06016210533456,91.4444151043042
vp_622236,standard,sg_c,97.43276698205989,88.38130446263534
vp_622236,reduced_compute,baseline,5.985688608539356,15.44758383945075
vp_622236,reduced_compute,dg,5.98907993353003,29.891734882492738
vp_622236,reduced_compute,dg_c,82.52450232305762,75.38949036176393
vp_622236,reduced_compute,sg,89.30715230440534,90.493794560338
vp_622236,reduced_compute,sg_c,91.12151117441584,88.51333509374174
vp_622236,missing_low_freq,baseline,5.985688608539356,11.909162925798785
vp_622236,missing_low_freq,dg,5.985688608539356,38.288883020860844
vp_622236,missing_low_freq,dg_c,78.27517210974328,57.59176128861896
vp_622236,missing_low_freq,sg,12.05616034184556,51.33350937417481
vp_622236,missing_low_freq,sg_c,86.17695933801336,94.66596250330078
vp_105620,standard,baseline,13.089181631346653,17.523553162853297
vp_105620,standard,dg,91.72534618105858,78.4656796769852
vp_105620,standard,dg_c,93.08985546309087,79.8384925975774
vp_105620,standard,sg,94.46447222128634,89.63660834454913
vp_105620,standard,sg_c,96.80266837370709,90.20188425302827
vp_105620,reduced_compute,baseline,8.951854721875947,14.697173620457605
vp_105620,reduced_compute,dg,36.83501229742933,33.082099596231494
vp_105620,reduced_compute,dg_c,56.07627775344497,59.67698519515478
vp_105620,reduced_compute,sg,85.26329975405142,91.03633916554509
vp_105620,reduced_compute,sg_c,93.4065563828712,93.43203230148049
vp_105620,missing_low_freq,baseline,8.968700515481284,10.767160161507402
vp_105620,missing_low_freq,dg,8.891209864896735,18.654104979811574
vp_105620,missing_low_freq,dg_c,62.71352043394764,50.74024226110363
vp_105620,missing_low_freq,sg,17.84980290421482,34.21265141318977
vp_105620,missing_low_freq,sg_c,89.21195377514235,91.22476446837146
vp_103818,standard,baseline,92.46037911746427,53.721820501914074
vp_103818,standard,dg,89.95882535736483,70.9059974478945
vp_103818,standard,dg_c,90.12197016780608,69.8000850701829
vp_103818,standard,sg,85.67821628340585,80.47639302424501
vp_103818,standard,sg_c,94.20835922933499,88.34538494257764
vp_103818,reduced_compute,baseline,6.782162834058421,21.01233517652063
vp_103818,reduced_compute,dg,53.94266625233064,58.10293492131008
vp_103818,reduced_compute,dg_c,70.13284648850218,70.65078689919183
vp_103818,reduced_compute,sg,73.2830950901181,80.5614632071459
vp_103818,reduced_compute,sg_c,92.96535114978248,80.73160357294769
vp_103818,missing_low_freq,baseline,6.727781230577999,16.546150574223734
vp_103818,missing_low_freq,dg,6.727781230577999,37.686091025095706
vp_103818,missing_low_freq,dg_c,50.58654443753885,55.46575925138239
vp_103818,missing_low_freq,sg,7.178371659415786,32.454274776690774
vp_103818,missing_low_freq,sg_c,95.39310130515848,91.83326244151425
vp_212217,standard,baseline,95.54350651762172,52.17391304347826
vp_212217,standard,dg,94.9827310877558,69.12413358538122
vp_212217,standard,dg_c,94.84903628328443,72.77882797731569
vp_212217,standard,sg,93.57893564080662,55.639571518588525
vp_212217,standard,sg_c,93.54551193968878,53.056080655324514
vp_212217,reduced_compute,baseline,6.681026478998775,26.40201638311279
vp_212217,reduced_compute,dg,80.49169978088906,72.52678008821675
vp_212217,reduced_compute,dg_c,86.3965536450403,79.33207309388783
vp_212217,reduced_compute,sg,87.85234151595054,71.89666036546944
vp_212217,reduced_compute,sg_c,96.16741560515469,61.87775677378702
vp_212217,missing_low_freq,baseline,6.64017528874364,19.596723377441712
vp_212217,missing_low_freq,dg,93.96887882051472,80.52930056710775
vp_212217,missing_low_freq,dg_c,89.93575221896238,79.89918084436043
vp_212217,missing_low_freq,sg,21.09035540535522,28.29237555135476
vp_212217,missing_low_freq,sg_c,94.21769970661418,63.39004410838059
vp_158338,standard,baseline,8.914572552908004,27.48663101604278
vp_158338,standard,dg,82.88042636259412,77.00534759358288
vp_158338,standard,dg_c,87.15334799987605,82.2192513368984
vp_158338,standard,sg,96.18566603662504,81.7379679144385
vp_158338,standard,sg_c,95.46679887212221,86.44385026737967
vp_158338,reduced_compute,baseline,8.663588758404858,19.572192513368982
vp_158338,reduced_compute,dg,8.691475846682986,6.042780748663102
vp_158338,reduced_compute,dg_c,67.04675735134633,79.41176470588235
vp_158338,reduced_compute,sg,94.37920242927524,91.81818181818183
vp_158338,reduced_compute,sg_c,86.54602918848573,90.16042780748663
vp_158338,missing_low_freq,baseline,8.663588758404858,12.754010695187166
vp_158338,missing_low_freq,dg,8.663588758404858,3.8770053475935833
vp_158338,missing_low_freq,dg_c,44.02441669507019,47.35294117647059
vp_158338,missing_low_freq,sg,90.05980231152975,61.63101604278075
vp_158338,missing_low_freq,sg_c,69.90673318253648,82.27272727272728
vp_569965,standard,baseline,84.81923542639682,46.2890625
vp_569965,standard,dg,88.6178861788618,73.7890625
vp_569965,standard,dg_c,90.09167964020067,76.6015625
