brain,scenario,method,tissue_pct,skull_pct,status,converged,tissue_rmse,tissue_std,tissue_mean,skull_rmse,ms_ssim,psnr,n_tissue_px,n_skull_px,n_brain_px
vp_129634,missing_low_freq,dg,93.13,82.11,converged,1,15.254,22.673,1565.911,228.842,0.9522,22.415,27494,2309,40075
vp_129634,missing_low_freq,dg_c,80.69,80.68,converged,1,26.537,23.56,1587.802,237.994,0.9493,22.381,27494,2309,40075
vp_129634,missing_low_freq,sg,18.23,36.29,failed,0,82.06,30.524,1492.985,493.416,0.9092,20.035,27494,2309,40075
vp_129634,missing_low_freq,sg_c,93.92,83.33,converged,1,15.959,25.154,1570.856,185.211,0.9824,25.586,27494,2309,40075
vp_156031,standard,baseline,94.1,72.27,converged,1,15.42,22.917,1570.687,229.915,0.9696,22.828,31610,2027,44557
vp_156031,standard,dg,92.31,75.83,converged,1,17.101,22.35,1576.875,217.883,0.9724,23.187,31610,2027,44557
vp_156031,standard,dg_c,88.16,79.63,converged,1,18.504,20.814,1561.938,204.518,0.9716,22.934,31610,2027,44557
vp_156031,standard,sg,97.13,79.97,converged,1,11.859,19.831,1578.174,203.12,0.9879,25.195,31610,2027,44557
vp_156031,standard,sg_c,93.18,78.49,converged,1,15.561,24.061,1568.544,209.894,0.9863,25.265,31610,2027,44557
vp_156031,reduced_compute,baseline,5.35,34.98,failed,0,95.928,15.938,1481.232,601.334,0.9216,19.052,31610,2027,44557
vp_156031,reduced_compute,dg,73.0,49.33,buffer,0,27.662,22.118,1596.23,369.149,0.9444,20.686,31610,2027,44557
vp_156031,reduced_compute,dg_c,92.02,81.4,converged,1,20.0,20.398,1588.297,213.92,0.9636,22.087,31610,2027,44557
vp_156031,reduced_compute,sg,93.94,83.13,converged,1,18.0,19.452,1587.943,193.066,0.979,23.841,31610,2027,44557
vp_156031,reduced_compute,sg_c,94.56,81.65,converged,1,14.594,23.734,1574.3,196.294,0.9836,24.767,31610,2027,44557
vp_156031,missing_low_freq,baseline,5.28,30.09,failed,0,95.398,1.535,1480.073,706.288,0.9195,18.792,31610,2027,44557
vp_156031,missing_low_freq,dg,5.29,22.5,failed,0,93.344,6.627,1482.191,707.783,0.9234,18.632,31610,2027,44557
vp_156031,missing_low_freq,dg_c,89.23,74.94,converged,1,21.789,20.547,1590.351,258.825,0.9592,21.878,31610,2027,44557
vp_156031,missing_low_freq,sg,23.38,58.9,failed,0,79.932,40.341,1505.382,408.902,0.9424,20.702,31610,2027,44557
vp_156031,missing_low_freq,sg_c,72.33,90.68,converged,1,28.495,25.333,1550.622,158.002,0.9827,25.116,31610,2027,44557
vp_724446,standard,baseline,94.67,71.63,converged,1,14.836,24.223,1563.031,221.973,0.9606,22.348,31389,2485,44843
vp_724446,standard,dg,96.18,92.52,converged,1,12.707,20.023,1570.795,149.287,0.9728,23.305,31389,2485,44843
vp_724446,standard,dg_c,97.09,95.29,converged,1,13.011,19.659,1558.033,135.431,0.9715,23.058,31389,2485,44843
vp_724446,standard,sg,95.55,75.65,converged,1,13.369,21.276,1571.651,203.288,0.9835,24.839,31389,2485,44843
vp_724446,standard,sg_c,92.4,75.41,converged,1,15.705,23.473,1558.375,204.881,0.9838,24.941,31389,2485,44843
vp_724446,reduced_compute,baseline,8.83,22.05,failed,0,86.865,6.085,1481.244,594.823,0.9108,18.928,31389,2485,44843
vp_724446,reduced_compute,dg,53.78,53.44,buffer,0,42.625,32.256,1598.188,379.771,0.9243,20.259,31389,2485,44843
vp_724446,reduced_compute,dg_c,76.11,86.04,converged,1,26.335,22.583,1587.3,184.947,0.9501,21.681,31389,2485,44843
vp_724446,reduced_compute,sg,92.72,84.23,converged,1,17.266,21.229,1577.945,174.371,0.9722,23.578,31389,2485,44843
vp_724446,reduced_compute,sg_c,88.67,81.13,converged,1,17.804,25.692,1560.786,183.971,0.9778,24.485,31389,2485,44843
vp_724446,missing_low_freq,baseline,9.02,17.06,failed,0,86.994,6.7,1481.137,627.201,0.9099,18.945,31389,2485,44843
vp_724446,missing_low_freq,dg,8.82,36.78,failed,0,85.547,6.084,1482.291,530.114,0.914,19.02,31389,2485,44843
vp_724446,missing_low_freq,dg_c,82.68,84.31,converged,1,23.061,23.043,1582.903,208.517,0.9477,21.546,31389,2485,44843
vp_724446,missing_low_freq,sg,15.89,40.72,failed,0,81.261,26.133,1490.195,471.882,0.9241,19.885,31389,2485,44843
vp_724446,missing_low_freq,sg_c,87.48,80.85,converged,1,19.301,25.513,1557.2,188.488,0.98,24.827,31389,2485,44843
vp_128026,standard,baseline,86.76,49.76,buffer,0,21.301,24.724,1583.514,302.807,0.9635,22.027,29452,2492,42877
vp_128026,standard,dg,86.17,73.56,converged,1,21.016,24.978,1558.102,223.33,0.9675,22.5,29452,2492,42877
vp_128026,standard,dg_c,89.43,75.6,converged,1,18.035,23.744,1559.266,213.032,0.9689,22.476,29452,2492,42877
vp_128026,standard,sg,92.18,82.34,converged,1,16.062,22.067,1558.943,185.778,0.9801,24.117,29452,2492,42877
vp_128026,standard,sg_c,90.37,66.53,converged,1,17.671,26.097,1563.766,244.574,0.9826,24.41,29452,2492,42877
vp_128026,reduced_compute,baseline,9.48,27.45,failed,0,89.082,4.539,1481.103,637.665,0.9058,18.519,29452,2492,42877
vp_128026,reduced_compute,dg,71.1,47.75,buffer,0,29.89,28.674,1584.385,422.916,0.9295,19.928,29452,2492,42877
vp_128026,reduced_compute,dg_c,85.37,78.29,converged,1,21.832,24.255,1582.729,220.736,0.9563,21.517,29452,2492,42877
vp_128026,reduced_compute,sg,96.46,85.19,converged,1,12.782,22.121,1567.704,171.989,0.9665,22.514,29452,2492,42877
vp_128026,reduced_compute,sg_c,91.98,73.64,converged,1,17.127,25.588,1571.517,215.907,0.9776,23.754,29452,2492,42877
